pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z,pt3filt_X,pt3filt_Y,pt3filt_Z
45.926205,-15.936510,13.474310,30.148393,-16.172917,35.423949,NaN,NaN,NaN
46.868365,-17.653037,13.936915,30.674214,-17.609443,35.833250,NaN,NaN,NaN
47.949667,-19.355502,14.330721,31.441109,-18.962561,36.158030,NaN,NaN,NaN
49.106252,-20.879976,14.656610,32.449913,-20.190370,36.380829,NaN,NaN,NaN
50.251536,-22.109932,14.908477,33.614421,-21.241104,36.482113,NaN,NaN,NaN
51.289817,-22.992112,15.077642,34.778765,-22.002780,36.455490,NaN,NaN,NaN
52.134947,-23.535405,15.157129,35.783250,-22.398614,36.310301,NaN,NaN,NaN
52.726823,-23.793425,15.144497,36.524763,-22.463813,36.067075,NaN,NaN,NaN
53.041764,-23.834919,15.043630,36.976782,-22.310606,35.752959,NaN,NaN,NaN
53.094703,-23.717985,14.866058,37.178111,-22.040833,35.399315,NaN,NaN,NaN
52.933422,-23.482033,14.631492,37.208132,-21.702215,35.041730,NaN,NaN,NaN
52.626995,-23.156242,14.366888,37.156962,-21.316330,34.719484,NaN,NaN,NaN
52.251161,-22.775367,14.102607,37.096120,-20.940227,34.470537,NaN,NaN,NaN
51.872874,-22.385933,13.865692,37.060157,-20.666714,34.322163,NaN,NaN,NaN
51.539259,-22.035246,13.673602,37.050109,-20.544386,34.281624,NaN,NaN,NaN
51.275866,-21.757035,13.532099,37.049922,-20.542241,34.333870,NaN,NaN,NaN
51.090416,-21.566593,13.436840,37.042958,-20.587456,34.447410,NaN,NaN,NaN
50.976389,-21.462117,13.376535,37.021174,-20.620109,34.584746,NaN,NaN,NaN
50.917636,-21.427423,13.336522,36.990059,-20.614463,34.713257,NaN,NaN,NaN
50.895001,-21.438541,13.301604,36.968637,-20.575601,34.811073,NaN,NaN,NaN
50.890687,-21.472620,13.258126,36.978351,-20.529248,34.865443,NaN,NaN,NaN
50.888945,-21.511255,13.196414,37.024756,-20.495020,34.869268,NaN,NaN,NaN
50.875633,-21.538399,13.113498,37.087305,-20.459248,34.822420,NaN,NaN,NaN
50.839990,-21.539941,13.014427,37.129654,-20.385459,34.736295,NaN,NaN,NaN
50.779110,-21.508099,12.910727,37.123876,-20.249602,34.634351,NaN,NaN,NaN
50.700687,-21.446712,12.816225,37.068934,-20.065633,34.544477,NaN,NaN,NaN
50.620096,-21.371440,12.741999,36.988338,-19.886543,34.487515,NaN,NaN,NaN
50.553466,-21.301147,12.693782,36.911494,-19.767544,34.470289,NaN,NaN,NaN
50.512507,-21.247043,12.672769,36.857671,-19.722963,34.487493,NaN,NaN,NaN
50.503090,-21.210959,12.677123,36.829898,-19.728739,34.526929,NaN,NaN,NaN
50.525253,-21.189837,12.702727,36.817701,-19.750551,34.574148,NaN,NaN,NaN
50.574509,-21.178771,12.743883,36.808159,-19.755159,34.617161,NaN,NaN,NaN
50.644397,-21.172684,12.794008,36.798068,-19.717917,34.649696,NaN,NaN,NaN
50.728235,-21.168049,12.845930,36.794728,-19.636408,34.670742,NaN,NaN,NaN
50.819031,-21.162095,12.892822,36.805685,-19.526314,34.683168,NaN,NaN,NaN
50.909818,-21.150557,12.930483,36.830027,-19.399925,34.694234,NaN,NaN,NaN
50.996232,-21.129762,12.959018,36.860463,-19.259298,34.716810,NaN,NaN,NaN
51.079942,-21.101948,12.981818,36.896387,-19.120039,34.767026,NaN,NaN,NaN
51.169298,-21.079162,13.001650,36.953902,-19.036110,34.855097,NaN,NaN,NaN
51.274642,-21.079440,13.017029,37.059008,-19.080712,34.975062,NaN,NaN,NaN
51.400684,-21.114072,13.023055,37.228061,-19.277234,35.105193,NaN,NaN,NaN
51.541744,-21.178173,13.015421,37.451703,-19.558908,35.219467,NaN,NaN,NaN
51.682542,-21.253815,12.993453,37.694144,-19.811162,35.300139,NaN,NaN,NaN
51.803224,-21.320627,12.960302,37.909098,-19.952759,35.343200,NaN,NaN,NaN
51.886009,-21.364905,12.920981,38.060428,-19.983799,35.355247,NaN,NaN,NaN
51.920613,-21.382736,12.880435,38.133999,-19.965256,35.346228,NaN,NaN,NaN
51.906809,-21.378039,12.843116,38.136023,-19.957773,35.324612,NaN,NaN,NaN
51.854675,-21.357226,12.814101,38.085507,-19.974265,35.298365,NaN,NaN,NaN
51.783806,-21.326033,12.799700,38.007989,-19.978700,35.278197,NaN,NaN,NaN
51.720558,-21.292114,12.805749,37.930677,-19.932174,35.277190,NaN,NaN,NaN
51.692064,-21.266472,12.835017,37.879134,-19.838495,35.305861,NaN,NaN,NaN
51.719989,-21.259517,12.886047,37.876557,-19.742787,35.366949,NaN,NaN,NaN
51.816124,-21.277423,12.953128,37.940785,-19.703529,35.452979,NaN,NaN,NaN
51.978970,-21.319304,13.027481,38.076345,-19.765032,35.548035,NaN,NaN,NaN
52.193178,-21.374840,13.100209,38.268688,-19.931177,35.633817,NaN,NaN,NaN
52.433884,-21.426366,13.165651,38.487701,-20.154751,35.697616,NaN,NaN,NaN
52.673526,-21.454480,13.223811,38.698363,-20.363502,35.738011,NaN,NaN,NaN
52.887574,-21.444285,13.280769,38.870615,-20.495592,35.766253,NaN,NaN,NaN
53.057942,-21.390802,13.346783,38.985482,-20.515952,35.803528,NaN,NaN,NaN
53.175456,-21.303257,13.432911,39.038330,-20.414715,35.875340,NaN,NaN,NaN
53.241953,-21.207331,13.546704,39.040569,-20.206799,36.003283,NaN,NaN,NaN
53.269993,-21.139413,13.688156,39.018147,-19.933166,36.195960,NaN,NaN,NaN
53.279115,-21.130933,13.847334,39.002039,-19.653267,36.442387,NaN,NaN,NaN
53.289304,-21.188089,14.005167,39.012283,-19.429241,36.712256,NaN,NaN,NaN
53.314434,-21.279502,14.139347,39.047276,-19.300682,36.965915,NaN,NaN,NaN
53.359697,-21.349071,14.233157,39.089795,-19.259058,37.170345,NaN,NaN,NaN
53.424775,-21.350119,14.281351,39.122994,-19.249001,37.311093,NaN,NaN,NaN
53.507982,-21.277036,14.290478,39.143933,-19.213999,37.394111,NaN,NaN,NaN
53.607450,-21.167458,14.274337,39.164619,-19.146792,37.438981,NaN,NaN,NaN
53.721628,-21.073588,14.247181,39.201720,-19.088038,37.468414,NaN,NaN,NaN
53.849752,-21.032653,14.219018,39.265045,-19.075319,37.500312,NaN,NaN,NaN
