pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI,pt3_X+-CI,pt3_Y+-CI,pt3_Z+-CI
0.575152,0.704248,0.976002,0.576471,0.588645,0.874349,NaN,NaN,NaN
0.618833,0.632214,0.933298,0.585064,0.613674,0.855409,NaN,NaN,NaN
0.555458,0.681155,0.911072,0.527412,0.633100,0.880169,NaN,NaN,NaN
0.582217,0.661016,0.908682,0.528733,0.566526,0.951101,NaN,NaN,NaN
0.567706,0.643394,0.951757,0.563797,0.624894,0.835455,NaN,NaN,NaN
0.603694,0.646914,0.919444,0.548669,0.596880,0.964550,NaN,NaN,NaN
0.595612,0.662982,0.920548,0.572861,0.615966,0.892050,NaN,NaN,NaN
0.600493,0.629282,0.896381,0.517846,0.590066,0.907500,NaN,NaN,NaN
0.616497,0.669716,0.955970,0.595509,0.593854,0.868583,NaN,NaN,NaN
0.582699,0.623684,0.885612,0.519313,0.581403,0.861591,NaN,NaN,NaN
0.559199,0.712504,0.988139,0.579601,0.580063,0.945590,NaN,NaN,NaN
0.585199,0.621257,0.883785,0.579313,0.606489,0.817033,NaN,NaN,NaN
0.644738,0.675368,0.952790,0.603086,0.595362,0.867602,NaN,NaN,NaN
0.581952,0.650054,0.959333,0.514210,0.573643,0.801421,NaN,NaN,NaN
0.611509,0.647786,0.859779,0.536195,0.610216,0.806859,NaN,NaN,NaN
0.592189,0.624980,0.925150,0.576416,0.563607,0.929204,NaN,NaN,NaN
0.647608,0.654324,0.951315,0.541412,0.569944,0.828106,NaN,NaN,NaN
0.634818,0.578592,0.900541,0.563446,0.558973,0.898360,NaN,NaN,NaN
0.618549,0.609334,0.981969,0.576794,0.596252,0.839823,NaN,NaN,NaN
0.619633,0.669408,0.931034,0.564801,0.605205,0.881852,NaN,NaN,NaN
0.622684,0.580511,0.917811,0.571149,0.620678,0.976166,NaN,NaN,NaN
0.548631,0.627779,0.948817,0.537955,0.625682,0.888364,NaN,NaN,NaN
0.595428,0.651313,0.909953,0.597378,0.655869,0.842464,NaN,NaN,NaN
0.565126,0.623093,0.980966,0.547039,0.573838,0.912696,NaN,NaN,NaN
0.575967,0.684670,0.952709,0.594962,0.592607,0.870163,NaN,NaN,NaN
0.579880,0.681490,0.906441,0.584816,0.554851,0.872763,NaN,NaN,NaN
0.571619,0.590052,0.901508,0.541333,0.620318,0.863135,NaN,NaN,NaN
0.606798,0.715407,0.869582,0.525007,0.643512,0.915730,NaN,NaN,NaN
0.601980,0.625220,0.952479,0.593599,0.608066,0.844566,NaN,NaN,NaN
0.618567,0.622515,0.854261,0.524287,0.631294,1.000795,NaN,NaN,NaN
0.641533,0.633385,0.897423,0.540117,0.588163,0.879350,NaN,NaN,NaN
0.551205,0.646393,0.955474,0.539114,0.550194,0.881624,NaN,NaN,NaN
0.570875,0.621509,0.961342,0.575236,0.583041,0.909978,NaN,NaN,NaN
0.600407,0.615663,0.874175,0.574330,0.557944,0.864668,NaN,NaN,NaN
0.594408,0.621215,0.979780,0.566205,0.565610,0.842347,NaN,NaN,NaN
0.565020,0.589238,0.905012,0.554171,0.617873,0.878618,NaN,NaN,NaN
0.640255,0.630223,0.906086,0.524430,0.590993,0.890915,NaN,NaN,NaN
0.543458,0.679534,0.930626,0.554122,0.604789,0.855332,NaN,NaN,NaN
0.602909,0.675945,0.913183,0.553400,0.612082,0.953296,NaN,NaN,NaN
0.608958,0.693807,0.947930,0.521149,0.598153,0.841667,NaN,NaN,NaN
0.562068,0.633616,0.982862,0.571633,0.650327,0.915591,NaN,NaN,NaN
0.658105,0.608986,0.922918,0.554317,0.628544,0.822448,NaN,NaN,NaN
0.572775,0.663257,0.904503,0.535490,0.593091,0.779539,NaN,NaN,NaN
0.590528,0.617522,0.923073,0.547712,0.580785,0.871007,NaN,NaN,NaN
0.603652,0.625746,0.913957,0.528934,0.598544,0.870410,NaN,NaN,NaN
0.591687,0.630529,0.872910,0.621087,0.615773,0.927469,NaN,NaN,NaN
0.577458,0.673813,0.947533,0.502343,0.601479,0.934493,NaN,NaN,NaN
0.601314,0.678148,1.028088,0.560054,0.629449,0.904233,NaN,NaN,NaN
0.577002,0.651551,0.893240,0.563116,0.599413,0.851659,NaN,NaN,NaN
0.570835,0.634902,0.895043,0.575298,0.543809,0.924063,NaN,NaN,NaN
0.552964,0.601871,0.942515,0.542619,0.537902,0.891113,NaN,NaN,NaN
0.565054,0.674943,0.952384,0.554176,0.583337,0.833877,NaN,NaN,NaN
0.662812,0.612685,0.912724,0.565217,0.666898,0.926250,NaN,NaN,NaN
0.550253,0.608380,0.939832,0.556289,0.567472,0.878610,NaN,NaN,NaN
0.582769,0.640021,0.904343,0.587495,0.662767,0.929557,NaN,NaN,NaN
0.585241,0.644772,0.981566,0.557143,0.575999,0.856570,NaN,NaN,NaN
0.585607,0.642792,0.977376,0.573745,0.591134,0.807902,NaN,NaN,NaN
0.600543,0.639704,0.942817,0.544689,0.571622,0.810465,NaN,NaN,NaN
0.578000,0.658199,0.899265,0.545685,0.613237,0.903364,NaN,NaN,NaN
0.541187,0.644653,0.948274,0.563298,0.605177,0.912120,NaN,NaN,NaN
0.603445,0.613621,0.864630,0.583598,0.541278,0.873244,NaN,NaN,NaN
0.594954,0.638772,0.971178,0.549832,0.610527,0.879879,NaN,NaN,NaN
0.566555,0.645499,0.903193,0.591306,0.599834,0.835274,NaN,NaN,NaN
0.608495,0.694767,1.010920,0.578804,0.553758,0.882961,NaN,NaN,NaN
0.589715,0.704878,0.899783,0.556392,0.579644,0.866764,NaN,NaN,NaN
0.567943,0.669264,0.947456,0.601570,0.583429,0.910854,NaN,NaN,NaN
0.581007,0.677860,0.998301,0.542733,0.611369,0.829142,NaN,NaN,NaN
0.536561,0.625780,0.885076,0.527451,0.613367,0.921972,NaN,NaN,NaN
0.616994,0.635700,0.904762,0.560631,0.631112,0.945524,NaN,NaN,NaN
0.570759,0.643347,0.976754,0.562390,0.580356,0.912721,NaN,NaN,NaN
0.567406,0.673704,0.966249,0.552278,0.600868,0.902513,NaN,NaN,NaN
0.576493,0.656392,0.928692,0.543498,0.615195,0.826986,NaN,NaN,NaN
0.599747,0.636166,0.987320,0.591078,0.597145,0.939277,NaN,NaN,NaN
0.589119,0.610796,1.020377,0.555628,0.619020,0.888749,NaN,NaN,NaN
0.612309,0.571463,0.883741,0.556598,0.587355,0.868474,NaN,NaN,NaN
0.603626,0.661370,0.979244,0.547764,0.591416,0.873894,NaN,NaN,NaN
0.594788,0.625785,1.030468,0.557597,0.644036,0.897569,NaN,NaN,NaN
0.626848,0.726830,0.951233,0.585556,0.659705,0.808896,NaN,NaN,NaN
0.581338,0.692714,0.975168,0.553407,0.615628,0.961694,NaN,NaN,NaN
0.593321,0.658992,1.005512,0.530491,0.607934,0.883426,NaN,NaN,NaN
0.566512,0.652783,0.894703,0.540623,0.583019,0.952592,NaN,NaN,NaN
0.610144,0.680175,0.890747,0.577791,0.591579,0.874836,NaN,NaN,NaN
0.569623,0.658705,0.945289,0.545865,0.604521,0.912503,NaN,NaN,NaN
0.553999,0.574757,0.911768,0.583955,0.605839,0.901879,NaN,NaN,NaN
0.591282,0.620034,0.937280,0.567787,0.587038,0.821980,NaN,NaN,NaN
0.568922,0.644084,0.934670,0.549841,0.586013,0.959861,NaN,NaN,NaN
